광역지방자치,기초지방자치,사고건수,사망자수,중상자수,경상자수
부산,중구,357,3,100,351
부산,서구,445,4,136,461
부산,동구,539,4,175,579
부산,영도구,298,2,122,279
부산,부산진구,1535,10,460,1505
부산,동래구,819,7,234,767
부산,남구,711,10,217,636
부산,북구,447,4,131,442
부산,해운대구,817,6,267,794
부산,사하구,916,7,331,809
부산,금정구,816,11,222,799
부산,강서구,765,18,288,765
부산,연제구,646,4,174,620
부산,수영구,717,3,213,672
부산,사상구,579,10,215,482
부산,기장군,475,10,135,552
경기,수원시,4705,25,1037,5055
경기,성남시,3599,27,850,3760
경기,의정부시,1683,13,299,1712
경기,안양시,1134,15,328,1210
경기,부천시,3457,18,652,3797
경기,안산시,3685,22,855,4181
경기,평택시,3508,56,795,3832
경기,광명시,950,10,207,998
경기,구리시,716,2,182,879
경기,양주시,1123,14,249,1265
경기,여주시,558,15,172,719
경기,화성시,3230,43,769,3700
경기,시흥시,2372,22,570,2672
경기,파주시,1673,27,447,1725
경기,고양시,3588,37,859,3857
경기,광주시,2178,12,406,2606
경기,연천군,178,8,56,217
경기,포천시,826,16,220,1061
경기,가평군,400,3,103,538
경기,양평군,490,15,175,528
경기,이천시,1050,20,213,1268
경기,용인시,3562,32,683,4296
경기,안성시,896,17,264,1078
경기,김포시,1933,11,464,2346
경기,동두천시,273,5,54,307
경기,과천시,208,4,40,295
경기,군포시,593,9,175,594
경기,남양주시,1970,24,558,2228
경기,오산시,997,10,199,1025
경기,의왕시,300,10,79,371
경기,하남시,1133,5,241,1243
강원,춘천시,1382,17,285,1508
강원,원주시,1578,18,411,1940
강원,동해시,310,6,93,376
강원,강릉시,712,14,194,840
강원,속초시,413,5,189,464
강원,태백시,228,3,35,312
강원,삼척시,209,8,80,209
강원,홍천군,268,9,83,360
강원,횡성군,152,10,52,191
강원,영월군,149,8,91,116
강원,평창군,196,13,79,258
강원,정선군,158,3,58,181
강원,철원군,113,1,44,131
강원,화천군,87,4,34,112
강원,양구군,79,5,17,84
강원,인제군,89,5,42,90
강원,고성군,146,2,70,175
강원,양양군,156,8,53,226
충북,청주시,4039,52,1085,4595
충북,충주시,1053,28,324,1214
충북,제천시,701,16,226,874
충북,보은군,134,4,47,169
충북,옥천군,120,5,57,102
충북,영동군,133,8,88,94
충북,진천군,440,7,131,529
충북,괴산군,188,9,84,192
충북,음성군,537,12,219,579
충북,단양군,147,5,53,170
충북,증평군,152,3,41,146
충남,천안시,2937,47,627,3321
충남,아산시,1267,21,356,1474
충남,보령시,331,20,165,306
충남,공주시,445,13,170,531
충남,서산시,615,13,227,627
충남,금산군,137,6,73,108
충남,태안군,267,8,121,282
충남,논산시,347,18,167,342
충남,부여군,198,9,133,156
충남,서천군,274,9,95,300
충남,청양군,185,6,103,168
충남,홍성군,242,20,109,205
충남,예산군,343,18,109,422
충남,당진시,529,20,145,597
충남,계룡시,47,2,18,53
전북,전주시,1918,26,457,2234
전북,군산시,1167,25,243,1293
전북,정읍시,409,18,167,435
전북,남원시,278,14,129,252
전북,김제시,253,8,102,269
전북,완주군,218,20,73,234
전북,진안군,62,7,29,64
전북,무주군,92,8,46,97
전북,장수군,40,4,17,34
전북,임실군,79,4,39,75
전북,순창군,103,12,33,83
전북,고창군,96,13,37,77
전북,부안군,140,10,68,119
전북,익산시,826,25,252,917
전남,목포시,1373,17,238,1867
전남,여수시,1384,13,332,1540
전남,순천시,1154,23,289,1413
전남,나주시,403,9,143,468
전남,광양시,584,17,138,623
전남,담양군,302,9,96,391
전남,곡성군,102,6,45,106
전남,구례군,113,2,40,123
전남,고흥군,255,9,141,213
전남,보성군,154,5,56,163
전남,화순군,263,3,85,308
전남,장흥군,241,3,76,297
전남,강진군,244,5,94,266
전남,해남군,300,12,122,289
전남,영암군,391,14,127,505
전남,무안군,280,11,70,321
전남,함평군,152,7,36,159
전남,영광군,123,6,63,83
전남,장성군,192,6,75,229
전남,완도군,153,9,42,184
전남,진도군,75,7,36,48
전남,신안군,97,8,46,122
경북,포항시,2203,27,628,2493
경북,경주시,1206,35,503,1218
경북,김천시,428,17,183,391
경북,안동시,727,26,291,738
경북,구미시,1652,29,516,1686
경북,영주시,414,17,166,344
경북,영천시,413,20,138,457
경북,문경시,279,6,100,310
경북,상주시,445,23,178,446
경북,군위군,93,4,50,113
경북,의성군,223,9,132,165
경북,청송군,93,2,43,59
경북,영양군,47,3,18,43
경북,영덕군,220,10,117,214
경북,청도군,199,6,67,203
경북,고령군,154,11,59,158
경북,성주군,278,13,112,271
경북,칠곡군,676,7,190,788
경북,예천군,155,8,79,116
경북,봉화군,99,6,40,94
경북,울진군,144,10,105,131
경북,울릉군,15,0,10,13
경북,경산시,874,20,274,912
경남,진주시,568,25,264,401
경남,통영시,630,7,192,690
경남,김해시,1924,23,732,1776
경남,밀양시,485,9,242,422
경남,거제시,698,14,268,613
경남,의령군,112,6,44,77
경남,함안군,266,9,123,247
경남,창녕군,227,9,139,169
경남,양산시,1232,18,355,1083
경남,고성군,208,13,113,148
경남,사천시,592,8,215,652
경남,남해군,167,10,77,117
경남,하동군,127,9,77,105
경남,산청군,151,8,70,151
경남,함양군,196,11,112,132
경남,거창군,228,10,120,169
경남,합천군,151,8,121,96
경남,창원시(통합),2649,61,828,2499
제주,제주시,2790,39,667,2964
제주,서귀포시,1249,14,400,1239
대구,중구,720,3,180,676
대구,동구,1522,8,343,1653
대구,서구,942,6,217,1002
대구,남구,643,3,134,705
대구,북구,1875,15,505,1918
대구,수성구,2005,8,457,2178
대구,달서구,2558,15,619,2775
대구,달성군,837,10,248,915
인천,중구,462,11,111,535
인천,동구,113,0,33,123
인천,미추홀구,1250,15,240,1331
인천,부평구,1239,13,237,1243
인천,남동구,1563,15,316,1812
인천,서구,1587,16,315,1853
인천,연수구,644,5,158,694
인천,계양구,613,7,105,738
인천,강화군,198,10,68,199
인천,옹진군,26,3,9,31
광주,동구,571,6,100,688
광주,서구,1700,11,245,2251
광주,북구,2113,18,290,2759
광주,광산구,2077,20,334,2701
광주,남구,661,3,119,772
대전,동구,947,14,216,1134
대전,중구,1024,5,221,1217
대전,서구,2302,9,470,2717
대전,유성구,1645,13,336,2031
대전,대덕구,923,10,190,1056
울산,중구,603,4,181,649
울산,남구,1094,5,336,997
울산,동구,501,2,181,410
울산,북구,802,10,244,910
울산,울주군,660,11,239,647
세종,세종시,932,17,234,744
